name,tema-sany,teklipler
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,6,"Hünärleriň sanawyndaky (klassifikator) hünärleri beýleki guramalar bilen
ylalaşmazdan okatmaga rugsat bermeli."
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,11,Hünärler boýunça beýleki guramalar bilen ylalaşmazdan okatmaklyga rugsat bermekligi ýola goýmak we tejribe okuwlary babatynda döreýän meseleleri aradan aýyrmak
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,11,"Önümçilik – tejribe okuwlaryny kärhanalarda geçmekde döreýän meseleleri
aradan aýyrmaly."
Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň öňe süren teklibine laýyklykda geçirilýän maslahatlary geçirmegiň ähmiýetini düşündirmek bilen bagly maslahatlary ýygy ýygydan geçirmek 
Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,3,Gutarnykly sanly ykdysady ulgama geçmek
Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,4,Bilime Döwlet tarapyndan maliýe goldawyny güýçlendirmek
Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,5,"Umumy bilim berýän orta mekdepleriň (11,12) synp okuwçylaryny hünär öwretmäge çekmek"
Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,6,Sanly ulgamda onlaýn okuwlary guramagyň kämil usullaryny döretmek
Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň öňe süren teklibine laýyklykda geçirilýän maslahatlary geçirmegiň ähmiýetini düşündirmek bilen bagly maslahatlary ýygy ýygydan geçirmek 
Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,3,Gutarnykly sanly ykdysady ulgama geçmek
Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,4,Bilime Döwlet tarapyndan maliýe goldawyny güýçlendirmek
Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,5,"Umumy bilim berýän orta mekdepleriň (11,12) synp okuwçylaryny hünär öwretmäge çekmek"
Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,6,Sanly ulgamda onlaýn okuwlary guramagyň kämil usullaryny döretmek
Garlyk kaliý dag-magdan toplumynyň Magdanly şäherindäki hünär-tehniki okuw mekdebi,1,"Gahryman Arkadagymyzyň  ýaşlar baradaky syýasatyny öňe sürmek, ýaşalar bilen işlemek"
Garlyk kaliý dag-magdan toplumynyň Magdanly şäherindäki hünär-tehniki okuw mekdebi,4,Ähli hünär-tehniki okuw mekdepleriniň okuw töleglerini deň derejede bellemek
Garlyk kaliý dag-magdan toplumynyň Magdanly şäherindäki hünär-tehniki okuw mekdebi,5,Bilimi kämilleşdirmek barada kurslary açmak
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň teklipleri bilen tanyşdyrmak
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,2,Bilim mazmunyna okatmagyň usulyýetine täzeçe guramak
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,3,Bilim ulgamynda Milli maksatlary we görkezijileri öwrenmek
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,4,Bilimiň döwlet tarapyndan pugtalandyrylan we has durnukly maliýeleşdiril-megini dowamlaş-dyrmak
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,6,Täze tehnologiýalaryň döremegi bilen baglylykda okatmagyň usulyýetini kämilleşdirmek
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,11,Hünär-tehniki okuw mekdeplerinde ylym-bilimiň kämil usulla-ryny öwren-mek
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,15,Hünär-tehniki bilimi ösdür-megiň strategi-ýalaryny taýýarlamak
Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,17,Jemleýji bölümi
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,1,"Bilim edaralarynyň mugallymlarynyň hünär şahsyýetini kämilleşdirmäge şert döretmeli, hünär taýdan dowamly ösüşini ýeňilleşdirmäge we talyplar bilen okuw işini alyp barmakda mugallymlara öz pikirlerini we tejiribelerini netijeli ulanmaga mümkinçilik berýän dolandyryş işlerini amala aşyrmak."
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,2,Mekdebe  çenli  çagalar  edaralarynyň  hem-de  umumy  bilim  berýän  orta  mekdepleriniň  sanynyň  artdyrylmagy  esasynda  pedagogik  we  psihologik  işgärleriniň  hünäriniň  derejesiniň  ýokarlandyrmaklygyna  Hünär-tehniki  okuw  mekdeplerinde  hünär  toparlaryny  ýola  goýmak  barada
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,3,Bilimiň derejelerinde başarnyklara esaslanýan bilim maksatnamalaryny taslamak we ösdürmek hem-de öwrenmegiň adaty reproduktiw usulynda bilimiň konstruktiw başarnylara esaslanýan usulyna geçmegi dowam etmek
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,4,Döwlet bilim edaralarynda tölegsiz umumy orta bilimi hem-de bilime berilýän döwlet maliýe goldawyny dowam etdirmek we güýçlendirmek 
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,6,"Sanly bilimiň mümkinçliginden giňden peýdalanmaklygy ýola goýmak, islendik ýerde internete girmek we enjamlary ulanmak mümkinçiligini döretmek"
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,11,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak"
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,15,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak"
Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,17,"2024-nji  ýylyň  24-nji  sentýabrynda  geçirilen  Týrkmenistanyň  Halk  Maslahatynyň  mejlisinde  Gahryman  Arkadagymyzyň  ""Täze  döwür  amala  aşyrýan  özgertmeleri  has-da  giňeldip,  jemgyýetimiziň  aň-bilim  baradaky""  çykyşlaryny  ýaşlaryň  arasynda  işläp  geçmek"
Türkmenistanyň Ministrler Kabinetiniň ýanyndaky Ulag we kommunikasiýalar agentliginiň “Türkmendemirýollary” agentliginiň Türkmenabat şäherindäki demir ýol hünär-tehniki okuw mekdebi,1,Düşündiriş maslahatlaryny ýygy-ýygydan geçmeli
Türkmenistanyň Ministrler Kabinetiniň ýanyndaky Ulag we kommunikasiýalar agentliginiň “Türkmendemirýollary” agentliginiň Türkmenabat şäherindäki demir ýol hünär-tehniki okuw mekdebi,3,"Sanly ulgama geçmek, kämilleşdirmek"
Türkmenistanyň Gurluşyk we binagärlik ministrliginiň Türkmenabat gurluşyk hünär-tehniki okuw mekdebi,6,Hünär tehniki okuw mekdepleriň ýeketäk saýtyny döretmek.
Türkmenistanyň Gurluşyk we binagärlik ministrliginiň Türkmenabat gurluşyk hünär-tehniki okuw mekdebi,11,Ýokary synp okuwçylaryň hünär okuwlaryny we sapaklaryny hünär tehniki okuw mekdeplerinde okamaga şert döretmek.
Türkmenistanyň Gurluşyk we binagärlik ministrliginiň Türkmenabat gurluşyk hünär-tehniki okuw mekdebi,15,Ýaragly güýçleriň harby bölümlerinde harby gullugyny geçýän ýaşlaryň arasynda hünäre ugrukdyryş işlerini güýçlendirmek.
Hojambaz etrap häkimliginiň  hünär-tehniki okuw mekdebi,11,Hünär tehniki okuw mekdeplerini ylym-bilim önümçilik arabaglanyşygynyň kämil usulyny döretmek üçin býujete geçirmegi teklip edýäris.
